model,grid_fee,solver_objective,solve_time_sec,total_charge_kwh,total_discharge_kwh,equivalent_cycles,avg_soc,soc_std,charge_periods,discharge_periods,idle_periods,final_soc,baseline_cost,battery_term,battery_value,incremental_value_per_kwh,battery_capacity_kwh,battery_price,years_to_break_even,,
BO-MIP,0,-32.25763442,0.758620334,2717.578947,2454.04,545.3422222,2.404353303,1.953357414,1716,1666,4513,0.5,138.7057829,-170.9634173,170.9634173,,5,"7,500",43.8690342,,
TO-MIP,0,-32.25918134,1.541298042,2729.058172,2464.4,547.6444444,2.404339306,1.952442104,1721,1672,4502,0.5,138.7057829,-170.9649642,170.9649642,,5,"7,500",44,,
BO-MIP,0,-94.73203871,0.701588959,3938.055402,3555.52,507.9314286,3.516436703,2.788157931,2175,2065,3655,0.5,138.7057829,-233.4378216,233.4378216,24.98976172,7.5,"9,000",38.55416376,,
TO-MIP,0,-94.73183065,1.463758333,3938.686981,3556.09,508.0128571,3.515411534,2.787600631,2175,2066,3654,0.5,138.7057829,-233.4376135,233.4376135,24.98976172,7.5,"9,000",39,,
BO-MIP,0,-139.7207137,0.70111475,4836.609418,4366.465,459.6278947,4.670675359,3.506445204,2505,2360,3030,0.5,138.7057829,-278.4264966,278.4264966,17.99547001,10,"10,500",37.71192802,,
TO-MIP,0,-139.7207157,1.438186875,4838.609418,4368.27,459.8178947,4.667839812,3.505419877,2506,2361,3028,0.5,138.7057829,-278.4264985,278.4264985,17.99547001,10,"10,500",38,,
BO-MIP,0,-181.4599495,0.593801,5684.437673,5131.63,394.7407692,6.351419106,4.309717978,2982,2696,2217,0.5,138.7057829,-320.1657323,320.1657323,11.92549593,13.5,"12,600",39.35461771,,
TO-MIP,0,-181.4599498,1.4740885,5684.753463,5131.915,394.7626923,6.354739908,4.309514729,2982,2696,2217,0.5,138.7057829,-320.1657327,320.1657327,11.92549593,13.5,"12,600",39,,
BO-MIP,0,-192.6518517,0.57759275,5909.695291,5334.925,367.9258621,7.090002933,4.602629596,3092,2749,2054,0.5,138.7057829,-331.3576346,331.3576346,7.461268152,15,"13,500",40.74147867,,
TO-MIP,0,-192.6518517,1.487862041,5909.695291,5334.925,367.9258621,7.090991441,4.602608279,3092,2749,2054,0.5,138.7057829,-331.3576346,331.3576346,7.461268152,15,"13,500",41,,
BO-MIP,0,-214.0935041,0.562350875,6279.412742,5668.595,290.6971795,9.647233109,5.595630356,3227,2932,1736,0.5,138.7057829,-352.799287,352.799287,4.288330487,20,"16,500",46.768802,,
TO-MIP,0,-214.0935041,1.470163209,6279.412742,5668.595,290.6971795,9.647817016,5.595440694,3227,2932,1736,0.5,138.7057829,-352.799287,352.799287,4.288330487,20,"16,500",47,,
BO-MIP,0,-221.7918652,0.558559917,6375.462604,5755.28,250.2295652,11.44768104,6.417638068,3268,2944,1683,0.5,138.7057829,-360.497648,360.497648,2.199531725,23.5,"18,600",51.59534355,,
TO-MIP,0,-221.7916152,1.451563042,6375.462604,5755.28,250.2295652,11.45162707,6.414587716,3268,2944,1683,0.5,138.7057829,-360.4973981,360.4973981,2.199531725,23.5,"18,600",52,,
BO-MIP,0,-227.6479557,0.561832333,6451.98892,5824.345,219.7866038,13.28626553,7.28431914,3284,2974,1637,0.5,138.7057829,-366.3537386,366.3537386,1.673168733,27,"20,700",56.50276718,,
TO-MIP,0,-227.6480238,1.465546166,6452.149584,5824.49,219.7920755,13.28623287,7.284358188,3285,2974,1636,0.5,138.7057829,-366.3538066,366.3538066,1.673168733,27,"20,700",57,,
BO-MIP,0,-233.0135167,0.562832167,6545.108033,5908.385,193.717541,15.33694609,8.356875501,3326,3003,1566,0.5,138.7057829,-371.7192995,371.7192995,1.341390227,31,"23,100",62.14366601,,
TO-MIP,0,-233.0135986,1.445119792,6545.108033,5908.385,193.717541,15.3485109,8.355614072,3326,3003,1566,0.5,138.7057829,-371.7193815,371.7193815,1.341390227,31,"23,100",62,,
BO-MIP,0,-237.2483618,0.563302042,6599.595568,5957.56,172.6828986,17.47787687,9.435397648,3338,3028,1529,0.5,138.7057829,-375.9541446,375.9541446,1.058711283,35,"25,500",67.82742088,,
TO-MIP,0,-237.2483618,1.447093375,6599.595568,5957.56,172.6828986,17.47697235,9.434573418,3338,3028,1529,0.5,138.7057829,-375.9541446,375.9541446,1.058711283,35,"25,500",68,,
BO-MIP,0,-239.8409194,0.571623791,6622.786704,5978.49,159.4264,19.10274489,10.29042189,3351,3031,1513,0.5,138.7057829,-378.5467023,378.5467023,0.864185872,38,"27,300",72.11791791,,
TO-MIP,0,-239.8409194,1.461554666,6622.786704,5978.49,159.4264,19.09909614,10.28705178,3351,3031,1513,0.5,138.7057829,-378.5467023,378.5467023,0.864185872,38,"27,300",72,,
