model,grid_fee,solver_objective,solve_time_sec,total_charge_kwh,total_discharge_kwh,equivalent_cycles,avg_soc,soc_std,charge_periods,discharge_periods,idle_periods,final_soc,baseline_cost,battery_term,battery_value,battery_capacity_kwh
BO-MIP,0.03,65.6280938411636,0.5344629160244949,1029.4182825484766,930.475,206.77222222222224,2.4683617287900605,1.9864749279413292,651,612,6632,0.5,138.70578286,-73.0776890188364,73.0776890188364,5.0
TO-MIP,0.03,65.6280938411636,1.4954433340462856,1029.4182825484766,930.475,206.77222222222224,2.4681211006239003,1.986283290868831,651,612,6632,0.5,138.70578286,-73.0776890188364,73.0776890188364,5.0
BO-MIP,0.03,42.706122347534645,0.535645208961796,1454.3213296398892,1313.95,187.70714285714286,3.6189443022449743,2.8901698145231554,799,758,6338,0.5,138.70578286,-95.99966051246535,95.99966051246535,7.5
TO-MIP,0.03,42.706122347534645,1.4822329999879003,1454.3213296398892,1313.95,187.70714285714286,3.6189443022449743,2.8901698145231554,799,758,6338,0.5,138.70578286,-95.99966051246535,95.99966051246535,7.5
BO-MIP,0.03,27.091650438670243,0.5372047919663601,1795.545706371191,1621.9050000000002,170.7268421052632,4.851659067882473,3.7158042415338044,926,882,6087,0.5,138.70578286,-111.61413242132976,111.61413242132976,10.0
TO-MIP,0.03,27.091650438670243,1.4971245829947293,1795.545706371191,1621.9050000000002,170.7268421052632,4.851887031408308,3.7158306642380623,926,882,6087,0.5,138.70578286,-111.61413242132976,111.61413242132976,10.0
BO-MIP,0.03,13.334069874819775,0.5372244580066763,2138.282548476454,1931.2250000000004,148.55576923076927,6.610012398016318,4.777781729033941,1110,1043,5742,0.5,138.70578286,-125.37171298518022,125.37171298518022,13.5
TO-MIP,0.03,13.334069874819775,1.5117825829656795,2138.282548476454,1931.2250000000004,148.55576923076927,6.610923585559644,4.7781068786972565,1110,1043,5742,0.5,138.70578286,-125.37171298518022,125.37171298518022,13.5
BO-MIP,0.03,9.637765173711728,0.534105124999769,2222.5650969529083,2007.2900000000004,138.4337931034483,7.345260758278676,5.19159572718153,1155,1049,5691,0.5,138.70578286,-129.06801768628827,129.06801768628827,15.0
TO-MIP,0.03,9.637765173711728,1.515749957994558,2222.5650969529083,2007.2900000000004,138.4337931034483,7.346209939742975,5.191789123404018,1155,1049,5691,0.5,138.70578286,-129.06801768628827,129.06801768628827,15.0
BO-MIP,0.03,1.6502566663710354,0.5427207080065273,2373.9999999999995,2143.9600000000005,109.94666666666669,9.691326054497948,6.588930485286704,1214,1121,5560,0.5,138.70578286,-137.05552619362896,137.05552619362896,20.0
TO-MIP,0.03,1.6502566663710354,1.4810514169512317,2373.9999999999995,2143.9600000000005,109.94666666666669,9.691326054497948,6.588930485286704,1214,1121,5560,0.5,138.70578286,-137.05552619362896,137.05552619362896,20.0
BO-MIP,0.03,-2.0445104991414382,0.5428244580398314,2415.318559556786,2181.2500000000005,94.83695652173915,11.273868181091027,7.4487946862494505,1236,1126,5533,0.5,138.70578286,-140.75029335914144,140.75029335914144,23.5
TO-MIP,0.03,-2.0445104991414382,1.4937274999683723,2415.318559556786,2181.2500000000005,94.83695652173915,11.271283261344852,7.449296758196421,1236,1126,5533,0.5,138.70578286,-140.75029335914144,140.75029335914144,23.5
BO-MIP,0.03,-5.078979455512751,0.5478529999963939,2443.418282548476,2206.61,83.26830188679246,12.877110995574043,8.384620029501125,1234,1145,5516,0.5,138.70578286,-143.78476231551275,143.78476231551275,27.0
TO-MIP,0.03,-5.078979455512751,1.4896657079807483,2443.418282548476,2206.61,83.26830188679246,12.877110995574043,8.384620029501125,1234,1145,5516,0.5,138.70578286,-143.78476231551275,143.78476231551275,27.0
BO-MIP,0.03,-7.868181958836942,0.5553173329681158,2471.4626038781157,2231.92,73.17770491803279,14.757415480189838,9.479575666933382,1255,1146,5494,0.5,138.70578286,-146.57396481883694,146.57396481883694,31.0
TO-MIP,0.03,-7.868181958836942,1.4901159169967286,2471.4626038781157,2231.92,73.17770491803279,14.758250013331201,9.478973464872483,1255,1146,5494,0.5,138.70578286,-146.57396481883694,146.57396481883694,31.0
BO-MIP,0.03,-10.146846553296712,0.5588864579913206,2499.650969529085,2257.3599999999997,65.43072463768115,16.742678504772574,10.646928247903524,1264,1157,5474,0.5,138.70578286,-148.8526294132967,148.8526294132967,35.0
TO-MIP,0.03,-10.146846553296712,1.4822285410482436,2499.650969529085,2257.3599999999997,65.43072463768115,16.73532968058444,10.649669461325121,1264,1157,5474,0.5,138.70578286,-148.8526294132967,148.8526294132967,35.0
BO-MIP,0.03,-11.590530815623538,0.558216082979925,2517.484764542936,2273.4549999999995,60.625466666666654,18.37331826907695,11.488118470013225,1272,1161,5462,0.5,138.70578286,-150.29631367562354,150.29631367562354,38.0
TO-MIP,0.03,-11.590530815623538,1.4846734159509651,2517.484764542936,2273.4549999999995,60.625466666666654,18.37331826907695,11.488118470013225,1272,1161,5462,0.5,138.70578286,-150.29631367562354,150.29631367562354,38.0
BO-MIP,0.03,-12.669103921163696,0.5595384580083191,2535.639889196675,2289.8399999999992,57.24599999999998,19.657762757958725,12.209882935088727,1279,1166,5450,0.5,138.70578286,-151.3748867811637,151.3748867811637,40.5
TO-MIP,0.03,-12.669103921163696,1.483465624973178,2535.639889196675,2289.8399999999992,57.24599999999998,19.657723430917724,12.209868736759653,1279,1166,5450,0.5,138.70578286,-151.3748867811637,151.3748867811637,40.5
BO-MIP,0.03,-17.4788283502495,0.5755037909839302,2557.5124653739604,2309.5799999999986,43.169719626168195,26.729487282034867,16.205072418722583,1286,1173,5436,0.5,138.70578286,-156.1846112102495,156.1846112102495,54.0
TO-MIP,0.03,-17.4788283502495,1.4856904170010239,2557.5124653739604,2309.5799999999986,43.169719626168195,26.729487282034867,16.205072418722583,1286,1173,5436,0.5,138.70578286,-156.1846112102495,156.1846112102495,54.0
BO-MIP,0.03,-24.41480102199472,0.5897051250212826,2622.1828254847633,2367.944999999999,29.415465838509302,39.872388417853124,24.762762517326813,1316,1197,5382,0.5,138.70578286,-163.12058388199472,163.12058388199472,81.0
TO-MIP,0.03,-24.41480102199472,1.4776384999859147,2622.1828254847633,2367.944999999999,29.415465838509302,39.872388417853124,24.762762517326813,1316,1197,5382,0.5,138.70578286,-163.12058388199472,163.12058388199472,81.0
BO-MIP,0.03,-28.585763616177758,0.6292073330259882,2653.1966759002757,2395.935,22.287767441860463,51.69599130805736,32.889630581386996,1330,1207,5358,0.5,138.70578286,-167.29154647617776,167.29154647617776,108.0
TO-MIP,0.03,-28.585763616177758,1.588397250045091,2653.1966759002757,2395.935,22.287767441860463,51.679727243641004,32.89329888968062,1330,1207,5358,0.5,138.70578286,-167.29154647617776,167.29154647617776,108.0
BO-MIP,0.03,-30.43627802324164,0.6265620840131305,2671.39058171745,2412.3550000000005,18.628223938223943,60.23047645710018,38.6732415373707,1339,1215,5341,0.5,138.70578286,-169.14206088324164,169.14206088324164,130.0
TO-MIP,0.03,-30.43627802324164,1.4823524999665096,2671.39058171745,2412.3550000000005,18.628223938223943,60.23047645710018,38.6732415373707,1339,1215,5341,0.5,138.70578286,-169.14206088324164,169.14206088324164,130.0
