,Horizon,D_min,Runtime,Baseline_Cost,Optimized_Cost,Battery_Value,Total_Charged,Total_Discharged,Avg_SOC
0,4,-10.0,15.624,138.706,-27.485,166.191,2719.64,2455.9,2.067
1,4,-1.0,15.161,138.706,-25.422,164.127,2711.025,2448.125,2.046
2,4,-0.1,14.449,138.706,-6.319,145.025,2669.252,2410.425,1.894
3,4,0.0,13.97,138.706,5.672,133.034,2554.914,2307.235,1.834
4,12,-10.0,33.665,138.706,-32.255,170.961,2726.626,2462.205,2.403
5,12,-1.0,32.514,138.706,-32.236,170.941,2716.316,2452.9,2.403
6,12,-0.1,30.495,138.706,-29.794,168.499,2666.593,2408.025,2.367
7,12,0.0,30.583,138.706,-23.248,161.953,2610.521,2357.42,2.382
8,before/after14rule,-10.0,61.858,138.706,-32.259,170.965,2726.321,2461.93,2.408
9,before/after14rule,-1.0,60.574,138.706,-32.239,170.945,2714.011,2450.82,2.407
10,before/after14rule,-0.1,54.14,138.706,-29.797,168.503,2668.593,2409.83,2.371
11,before/after14rule,0.0,54.281,138.706,-23.265,161.97,2612.393,2359.11,2.388
12,72,-10.0,210.433,138.706,-32.259,170.965,2726.321,2461.93,2.406
13,72,-1.0,191.589,138.706,-32.239,170.945,2716.011,2452.625,2.407
14,72,-0.1,182.739,138.706,-29.797,168.503,2668.593,2409.83,2.373
15,72,0.0,180.003,138.706,-23.265,161.97,2608.393,2355.5,2.387
