Horizon,D_min,Runtime,Baseline_Cost,Optimized_Cost,Battery_Value,Total_Charged,Total_Discharged,Avg_SOC
12,-10.0,36.846,138.706,-32.255,170.961,2726.626,2462.205,2.403
12,-10.0,36.355,138.706,207.195,-68.489,6264.687,2417.765,2.626
12,-10.0,35.97,138.706,246.069,-107.363,6940.499,2377.3,2.805
12,-10.0,35.307,138.706,260.514,-121.808,7250.166,2358.17,2.889
12,-10.0,32.112,138.706,260.504,-121.798,7272.044,2357.415,2.894
12,-10.0,31.05,138.706,260.495,-121.789,7291.507,2353.8,2.9
12,-10.0,30.137,138.706,260.601,-121.896,7296.238,2351.805,2.902
12,-10.0,28.761,138.706,260.601,-121.896,7298.028,2351.805,2.902
12,-10.0,29.724,138.706,260.601,-121.896,7298.028,2351.805,2.902
12,-0.1,31.137,138.706,-29.794,168.499,2666.593,2408.025,2.367
12,-0.1,29.777,138.706,188.459,-49.753,5983.23,2376.32,2.569
12,-0.1,30.238,138.706,219.796,-81.09,6521.38,2341.76,2.71
12,-0.1,29.384,138.706,228.936,-90.23,6732.249,2322.905,2.767
12,-0.1,29.458,138.706,229.038,-90.333,6753.391,2322.15,2.772
12,-0.1,28.708,138.706,229.033,-90.328,6774.421,2318.145,2.778
12,-0.1,29.762,138.706,228.992,-90.286,6777.889,2316.54,2.779
12,-0.1,27.601,138.706,228.975,-90.269,6778.111,2315.875,2.779
12,-0.1,27.787,138.706,229.028,-90.323,6780.111,2316.54,2.78
72,-10.0,210.032,138.706,-32.259,170.965,2726.321,2461.93,2.406
72,-10.0,196.341,138.706,208.883,-70.177,6284.321,2418.075,2.634
72,-10.0,181.835,138.706,253.357,-114.651,7024.177,2372.35,2.829
72,-10.0,402.746,138.706,297.229,-158.524,7742.15,2333.705,3.032
72,-10.0,179.86,138.706,312.809,-174.104,7988.814,2324.85,3.1
72,-10.0,841.902,138.706,355.819,-217.113,8550.532,2264.965,3.267
72,-10.0,240.832,138.706,374.547,-235.841,8752.51,2213.46,3.334
72,-10.0,169.68,138.706,390.606,-251.9,8930.925,2188.09,3.376
72,-10.0,175.268,138.706,400.859,-262.153,9059.452,2176.745,3.408
72,-0.1,182.934,138.706,-29.797,168.503,2668.593,2409.83,2.373
72,-0.1,190.059,138.706,191.617,-52.912,6020.543,2375.1,2.582
72,-0.1,174.061,138.706,233.374,-94.668,6733.562,2334.73,2.769
72,-0.1,162.17,138.706,276.447,-137.741,7439.44,2297.135,2.967
72,-0.1,188.148,138.706,291.721,-153.016,7683.922,2287.385,3.037
72,-0.1,260.728,138.706,333.634,-194.929,8237.607,2223.87,3.207
72,-0.1,268.759,138.706,350.481,-211.775,8426.421,2179.225,3.267
72,-0.1,291.366,138.706,364.155,-225.449,8590.26,2161.76,3.306
72,-0.1,296.673,138.706,373.0,-234.294,8705.274,2152.455,3.334
